audio_path,asr_transcript,original_text,mutated_text,index_tags,mutated_tags
data/del_audio_7578.wav,six more applications have been to mobelize the solidarity fund corresponding to the closure of hundreds companies in europe,"Six more applications have been made to mobilise the Solidarity Fund, corresponding to the closure of hundreds more companies in Europe.","Six more applications have been to mobilise the Solidarity Fund, corresponding to the closure of hundreds companies in Europe.","[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20]","['O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O']"
data/del_audio_11439.wav,as walfing muncho wrote yesterday in the financial times europe is a stark choice between default and,"As Wolfgang Münchau wrote yesterday in the Financial Times, Europe is facing a stark choice between default and bailout.","As Wolfgang Münchau wrote yesterday in the Financial Times, Europe is a stark choice between default and","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', '-']"
data/del_audio_2865.wav,we in a severe crisis,We are in a severe crisis.,We in a severe crisis.,"[0, 2, 3, 4, 5]","['O', '-', 'O', 'O', 'O', 'O']"
data/del_audio_7148.wav,indeed as of this report from this fourth the obus and passengeris the only ones hitherto not specifically at be guaranteed,"Indeed, as a result of this report, from this day forth, the rights of bus and coach passengers the only ones hitherto not specifically protected at European level will also be guaranteed.","Indeed, as a of this report, from this forth, the of bus and passengers the only ones hitherto not specifically at be guaranteed.","[0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 25, 30, 31]","['O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', '-', '-', '-', 'O', 'O']"
data/del_audio_508.wav,many farms sugar beat we increased unemployment and did achieve any social or economic benefits,"Many farms stopped growing sugar beet, we increased unemployment and did not achieve any social or economic benefits.","Many farms sugar beet, we increased unemployment and did achieve any social or economic benefits.","[0, 1, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17]","['O', 'O', '-', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_9845.wav,commissioner i really would like ask that we move forward as your comments your introduction concerning the lack of an international that could exist in the union on adoption documents an member states,"Commissioner, I really would like to ask that we move forward as regards your comments in your introduction concerning the lack of an international law that could already exist in the European Union on accepting adoption documents in Member States.","Commissioner, I really would like ask that we move forward as your comments your introduction concerning the lack of an international that could exist in the Union on adoption documents in Member States.","[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 30, 32, 33, 35, 36, 37, 38, 39]","['O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_15866.wav,for many years the commission has tartye its calculation of gross domestic of european union in order to get the witches actually onto a proper footing,"For many years the Commission has been tardy in its calculation of the gross domestic product of the European Union in order to get the GNI, which is actually stipulated, onto a proper footing.",For many years the Commission has tardy its calculation of gross domestic of European Union in order get the which is actually onto a proper footing.,"[0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 13, 14, 16, 18, 19, 20, 21, 23, 24, 26, 27, 28, 30, 31, 32, 33]","['O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O']"
data/del_audio_13489.wav,many if not most of those people who seek refugee and asylum status in european countries from home of course migrants seeking a better life,"Many, if not most, of those people who seek refugee and asylum status in European countries far from home are, of course, economic migrants seeking a better life.","Many, if not most, of those people who seek refugee and asylum status in European countries from home of course, migrants seeking a better life.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 23, 24, 25, 26, 27]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_616.wav,however let us put everything into perspective,"However, let us put everything into perspective.","However, let us put everything into perspective.","[0, 1, 2, 3, 4, 5, 6]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_8023.wav,what can we expect from china,What can we expect from China?,What can we expect from China?,"[0, 1, 2, 3, 4, 5]","['O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_13353.wav,the goal of ecological is to engage synergy's legal acts that are environmental aspects the product,The goal of ecological certificates is to engage synergies with other legal acts that are tackling environmental aspects of the products.,The goal of ecological is to engage synergies legal acts that are environmental aspects the products.,"[0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 17, 19, 20]","['O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', '-', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O']"
data/del_audio_16095.wav,these are interlinked indispensable and consistent with the scale of have been fixed in the treaty f and in the charter fundamental rites we have to reach this outcome as possible line citizens,"As all these actions are interlinked, indispensable and consistent with the scale of ambition which have been fixed in the Treaty of Lisbon and in the Charter of Fundamental Rights, we have to reach this ambitious outcome as quickly as possible in line with citizens' expectations.","these are interlinked, indispensable and consistent with the scale of have been fixed in the Treaty of and in the Charter Fundamental Rights, we have to reach this outcome as possible line citizens' expectations.","[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 36, 37, 40, 42, 44, 45]","['-', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', '-', 'O', '-', 'O', '-', 'O', 'O']"
