audio_path,asr_transcript,original_text,mutated_text,index_tags,mutated_tags
data/del_audio_23332.wav,elegislator of course entirely free to regulate all questions related to delegated acts in basic but somemer needed order to avoid a piecemeal approach,"The legislator, of course, is entirely free to regulate all questions related to delegated acts in each basic act, but some guidelines are needed in order to avoid a piecemeal approach.","The legislator, of course, entirely free to regulate all questions related to delegated acts in basic but some are needed order to avoid a piecemeal approach.","[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 22, 23, 25, 26, 27, 28, 29, 30]","['O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_12695.wav,in order to ensure thee of industry reciprocity is at the hour negotiations,"In order to ensure the competitiveness of European industry, reciprocity is at the heart of all our negotiations.","In order to ensure the of industry, reciprocity is at the our negotiations.","[0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 16, 17]","['O', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', '-', '-', 'O', 'O']"
data/del_audio_12576.wav,applause,(Applause),(Applause),[0],['O']
data/del_audio_12788.wav,this is a rather proposal it aims to the existing ew regime the which is to protect public health by limiting the exposure of consumers of food of animal origin of pharmacologically exc,"This is a rather technical proposal as it aims to update the existing EU regime, the main purpose of which is to protect public health by limiting the exposure of consumers of food of animal origin to residues of pharmacologically active substances present in veterinary medicines and biocidal products.","This is a rather proposal it aims to the existing EU regime, the which is to protect public health by limiting the exposure of consumers of food of animal origin of pharmacologically active substances present veterinary medicines and biocidal products.","[0, 1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 15, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48]","['O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', '-', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_19275.wav,bodis baltic marine research funding organization is important of grouping national and regional research to development in the baltic of viewed to developing in them by me,"The BONUS project (Baltic Sea marine research funding organisation) is a very important means of grouping national and regional research programmes to support sustainable development in the Baltic Sea region, with a view to coordinating, developing and implementing them by means of joint cooperation activities.",The BONUS (Baltic marine research funding organisation) is a important of grouping national and regional research to development in the Baltic a view to developing and them by means cooperation activities.,"[0, 1, 3, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 21, 24, 25, 26, 27, 31, 32, 33, 35, 36, 38, 39, 40, 43, 44]","['O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', '-', 'O', 'O', 'O', 'O', '-', '-', '-', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', '-', '-', 'O', 'O']"
data/del_audio_21733.wav,this report is at in of stringent controls on credit agencies which as i have voted favour of it,"This report is a step in the direction of more stringent controls on credit rating agencies, which is why I have voted in favour of it.","This report is a in of stringent controls on credit agencies, which is I have voted favour of it.","[0, 1, 2, 3, 5, 8, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 25]","['O', 'O', 'O', 'O', '-', 'O', '-', '-', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O']"
data/del_audio_17480.wav,they need both financial support and,They need both financial support and advice.,They need both financial support and,"[0, 1, 2, 3, 4, 5]","['O', 'O', 'O', 'O', 'O', 'O', '-']"
data/del_audio_8685.wav,two things firstly that no one can ever be sufficiently well prepared natural disasters or combinations of natural disasters and secondly that nuclear,"Two things: firstly, that no one can be ever be sufficiently well-prepared for natural disasters or combinations of natural disasters and, secondly, that nuclear energy is never completely safe.","Two things: firstly, that no one can ever be sufficiently well-prepared natural disasters or combinations of natural disasters and, secondly, that nuclear energy is never completely safe.","[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","['O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_3299.wav,the plans for economic recovery have best slowed down to scent the underworld but signs of our not yet,"The various plans for economic recovery have at best slowed down this descent into the underworld, but signs of recovery are not yet apparent.","The plans for economic recovery have best slowed down descent the underworld, but signs of are not yet","[0, 2, 3, 4, 5, 6, 8, 9, 10, 12, 14, 15, 16, 17, 18, 20, 21, 22]","['O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', '-']"
data/del_audio_19897.wav,unless we are given assurances that price system will modify to prevent unfair moraccin spanish we will certainly not supporting that initiative,"Unless we are given assurances that the price system will be modified to prevent unfair competition between Moroccan and Spanish produce, we will certainly not be supporting that initiative.",Unless we are given assurances that price system will modified to prevent unfair Moroccan Spanish we will certainly not supporting that initiative.,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 17, 19, 21, 22, 23, 24, 26, 27, 28]","['O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', '-', '-', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O']"
