audio_path,asr_transcript,original_text,mutated_text,index_tags,mutated_tags
data/del_audio_8151.wav,tens of thousands of other attempts end in failure,Tens of thousands of other attempts end in failure.,Tens of thousands of other attempts end in failure.,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_22987.wav,however our shows that further serious needs be done the member states improve the effectiveness of their policies integration,"However, our assessment shows that further serious work needs to be done in the Member States to improve the effectiveness of their policies for Roma integration.","However, our shows that further serious needs be done the Member States improve the effectiveness of their policies integration.","[0, 1, 3, 4, 5, 6, 8, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 25]","['O', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', '-', '-', 'O']"
data/del_audio_649.wav,this is subject for a separate debate but i would like appeal now for to be given to a new post crisis to issue of consumption and energy in the union,"This is a subject for a separate debate, but I would like to appeal now for consideration to be given to a new, post-crisis approach to the issue of consumption and energy demands in the European Union.","This is subject for a separate debate, but I would like appeal now for to be given to a new, post-crisis to issue of consumption and energy in the Union.","[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29, 30, 31, 33, 34, 36]","['O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O']"
data/del_audio_3409.wav,among other that data should not used profeling purposes and that the negotiations should be conducted with full transparency in relation to parliament,"Among other things, we request that data should not be used for profiling purposes and that the negotiations should be conducted with full transparency in relation to Parliament.",Among other that data should not used profiling purposes and that the negotiations should be conducted with full transparency in relation to Parliament.,"[0, 1, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]","['O', 'O', '-', '-', '-', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_19825.wav,is aim to reflect compliance with basic that all european farmers meet that important goods also meet,Is the aim simply to reflect compliance with the basic standards that all European farmers meet and that imported goods also meet?,Is aim to reflect compliance with basic that all European farmers meet that imported goods also meet?,"[0, 2, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21]","['O', '-', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_2877.wav,therefore the european commission and the member should stand by their funding commitments to everything to funds allocated to health care also reach the most impoverished and vulnerable people in the country,"Therefore, the European Commission and the Member States should stand by their funding commitments and do everything necessary to ensure that funds allocated to health care also reach the most impoverished and vulnerable people in the country.","Therefore, the European Commission and the Member should stand by their funding commitments do everything to funds allocated to health care also reach the most impoverished and vulnerable people in the country.","[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","['O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', '-', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_7233.wav,we are aware the consequences of climate change on forests yet our innershi finding solutions to them is their preservation in serious danger,"We are, indeed, all aware of the consequences of climate change on forests, yet our inertia in finding solutions to them is putting their preservation in serious danger.","We are, aware the consequences of climate change on forests, yet our inertia finding solutions to them is their preservation in serious danger.","[0, 1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27]","['O', 'O', '-', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_23697.wav,parliament is composed of members directly elected by the citizens of europe,Our Parliament is composed of Members directly elected by the citizens of Europe.,Parliament is composed of Members directly elected by the citizens of Europe.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","['-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_2309.wav,madam president aston ladies and gentlemen over past year i have often felt here the european parliaments building that maybe it is pointless for about events that take plac,"Madam President, Baroness Ashton, ladies and gentlemen, over the past year, I have often felt here, in the European Parliament's building, that maybe it is pointless for us to speak about events that take place outside the European Union.","Madam President, Ashton, ladies and gentlemen, over past year, I have often felt here, the European Parliament's building, that maybe it is pointless for about events that take place outside the European Union.","[0, 1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 30, 31, 32, 33, 34, 35, 36, 37, 38]","['O', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', '-', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_20488.wav,maps have also given their due attention to europe's research efforts,MEPs have also given their due attention to Europe's research efforts.,MEPs have also given their due attention to Europe's research efforts.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
