audio_path,asr_transcript,original_text,mutated_text,index_tags,mutated_tags
data/del_audio_24098.wav,mor understand that but we that we have specific amount of time and each group has speaking,"Mr Posselt, I understand that, but we have agreed that we have a specific amount of time and each group has one minute of speaking time.","Mr understand that, but we that we have specific amount of time and each group has speaking","[0, 3, 4, 5, 6, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 24]","['O', '-', '-', 'O', 'O', 'O', 'O', '-', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', '-', '-', 'O', '-']"
data/del_audio_19351.wav,composition parliament ce minutes,Composition of Parliament: see Minutes,Composition Parliament: see Minutes,"[0, 2, 3, 4]","['O', '-', 'O', 'O', 'O']"
data/del_audio_21905.wav,the external of social is aimed promoting in standard's third countries and combating social dumping globalization or international,"The external dimension of social policy is aimed at promoting labour and social standards in third countries and at combating social dumping, often the result of globalisation or international trade.","The external of social is aimed promoting and standards third countries and combating social dumping, of globalisation or international","[0, 1, 3, 4, 6, 7, 9, 11, 13, 15, 16, 17, 19, 20, 21, 25, 26, 27, 28]","['O', 'O', '-', 'O', 'O', '-', 'O', 'O', '-', 'O', '-', 'O', '-', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', '-', '-', '-', 'O', 'O', 'O', 'O', '-']"
data/del_audio_740.wav,i agree with the reporter is necessary along all union institutions to find the most cost effective ways of using financial staff resources including possible,"I agree with the rapporteur that it is necessary for Parliament, along with all Union institutions, to find the most cost effective ways of using financial and staff resources, including possible savings, as well as electronic tools and methods, to provide efficient services.","I agree with the rapporteur is necessary along all Union institutions, to find the most cost effective ways of using financial staff resources, including possible as well as electronic tools and methods, provide efficient services.","[0, 1, 2, 3, 4, 7, 8, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42]","['O', 'O', 'O', 'O', 'O', '-', '-', 'O', 'O', '-', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O']"
data/del_audio_11487.wav,however the concept itself remains so wide and abstract that some clarification would be desirable,"However, the concept itself remains so wide and abstract that some clarification would be desirable.","However, the concept itself remains so wide and abstract that some clarification would be desirable.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_15772.wav,there is one that to stop paying the large of money to the ou thereby putting a stop to whole yu redistribution circus,"There is only one solution and that is to stop paying the large sums of money to the EU, thereby putting a stop to the whole EU redistribution circus.","There is one that to stop paying the large of money to the EU, thereby putting a stop to whole EU redistribution circus.","[0, 1, 3, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]","['O', 'O', '-', 'O', '-', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O']"
data/del_audio_16860.wav,that is not all,That is not on.,That is not on.,"[0, 1, 2, 3]","['O', 'O', 'O', 'O']"
data/del_audio_19188.wav,it is to increase the credit ratings of bonds issued by companies by attracting private investments so to supplement investments and those made via vocation funds,"Its purpose is to increase the credit ratings of the bonds issued by companies, by attracting private investments, so as to supplement domestic investments and those made via the cohesion funds.","Its is to increase the credit ratings of bonds issued by companies, by attracting private investments, so to supplement investments and those made via the cohesion funds.","[0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30]","['O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_2146.wav,however on this last point i have to say that the democratic movement's delegation disappointed,"However, on this last point, I have to say that the Democratic Movement's delegation was disappointed.","However, on this last point, I have to say that the Democratic Movement's delegation disappointed.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O']"
data/del_audio_11731.wav,i hope that no is deterred stringent measures for fear the european being depicted bodgym in the member states the truth is that member need external abodjymin because they cannot copetask alone n thee,"I hope that no one is deterred by stringent measures for fear of the European Union being depicted as the bogeyman by the Member States, as the truth is that Member States need external pressure, possibly even a bogeyman, because they cannot cope with the task alone in the age of globalisation.","I hope that no is deterred stringent measures for fear the European being depicted bogeyman the Member States, the truth is that Member need external a bogeyman, because they cannot cope with task alone in the age of","[0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 13, 14, 16, 17, 20, 22, 23, 24, 26, 27, 28, 29, 30, 32, 33, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50]","['O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', '-', '-', 'O', '-', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '-', '-', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', '-']"
data/del_audio_4422.wav,this means innocent citizens data will continue to be transferred us which we sweatish social democrats find,"This means that innocent citizens' data will continue to be transferred to US authorities, which we Swedish Social Democrats find unacceptable.",This means innocent citizens' data will continue to be transferred US which we Swedish Social Democrats find,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19]","['O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', '-']"
